id,brand,x,y
1,Amazon_Kindle,-7.893566313,20.539603
2,NESCAF_,42.76697912,-2.726846755
3,Nokia,40.52341274,-1.132194998
4,McDonald_s,-1.067203098,10.4411771
5,T_Mobile,-0.225415506,-37.50930821
6,Amazon_com,-7.204696043,2.961376685
7,Delta,22.36418701,28.49243089
8,NVIDIA,0.020874899,-41.62244666
9,Maybelline_New_York,5.417823606,30.31138874
10,Pepsi,-2.483445037,-1.177481218
11,Coca_Cola,1.535775694,-2.364509603
12,Capital_One,-6.491762774,4.666510978
13,American_Express,21.20042934,28.37619119
14,Mercedes_Benz_USA,8.983084069,-2.593554294
15,BMW_USA,9.000318117,-2.61611905
16,MetLife,-6.432153289,4.656067024
17,SingTel,1.218916491,-39.54907169
18,Intel,0.051577191,-41.522717
19,MasterCard,-4.323142079,-0.308093344
20,Visa_Signature,-2.978978192,1.092924306
21,L_Oreal_Paris_USA,5.779191067,30.38444964
22,Coca_Cola_Zero,-0.22231027,-5.702049454
23,Starbucks,-5.638018006,20.4667398
24,Tide,-9.406022595,29.55902263
25,Burger_King,2.247889842,-2.985608775
26,Wendy_s,-10.09895862,34.52908931
27,Mercedes_Benz,10.99535213,-0.863179725
28,Subway,0.345029623,12.27174568
29,United,23.01589176,28.96314313
30,Bing,-0.265920604,-37.50423536
31,Windows_Phone,-0.605526738,-39.81142922
32,Xbox,13.87340338,-30.63986838
33,Barack_Obama,-6.759987272,-21.21386063
34,Mitt_Romney,-27.53539418,-17.30704815
35,Atlanta_Braves,-26.28658506,5.32380534
36,Los_Angeles_Angels_of_Anaheim,-0.016544424,-13.35019645
37,Houston_Astros,-35.28179672,-3.141607534
38,Oakland_Athletics,-0.355264179,-13.52708786
39,Toronto_Blue_Jays,-17.37233349,-0.602307217
40,Milwaukee_Brewers,-27.86524388,-4.821067569
41,St_Louis_Cardinals,-7.579927099,10.07024454
42,Chicago_Cubs,0.768463756,22.09987055
43,Groupon,-7.071818401,5.081979687
44,Los_Angeles_Dodgers,1.062758232,-13.61602835
45,Cisco_Networking_Academy,0.888698487,-39.87857773
46,Cleveland_Indians,-21.37113019,11.59683182
47,Seattle_Mariners,3.381768525,9.416672635
48,Miami_Marlins,-18.14660692,-0.989204218
49,New_York_Mets,-15.48437281,6.756040181
50,Washington_Nationals,-13.00686776,11.24240391
51,Baltimore_Orioles,-12.58632789,11.60434709
52,San_Diego_Padres,-0.069535706,-13.27549775
53,Philadelphia_Phillies,-15.27550063,14.8182981
54,Pittsburgh_Pirates,-16.13411822,12.39520354
55,Texas_Rangers,-35.28616869,-3.075807023
56,Tampa_Bay_Rays,-18.41325267,-1.060163433
57,Cincinnati_Reds,-24.69375109,12.0007462
58,Boston_Red_Sox,5.863537998,0.516193555
59,Colorado_Rockies,-13.91050865,-2.067699377
60,Kansas_City_Royals,-7.92562871,9.908869851
61,Detroit_Tigers,-11.85462686,2.82869034
62,Minnesota_Twins,-28.03981273,-4.923881372
63,Chicago_White_Sox,0.718768331,22.17350974
64,New_York_Yankees,-15.44463748,6.750687943
65,Bulgari,11.09674926,27.08893268
66,CHANEL,11.66160116,27.85885901
67,Clarins,2.793322716,31.37505767
68,Clinique,4.756147824,29.90250025
69,DKNY,11.23111368,26.99534031
70,Dolce_Gabbana,11.94156418,26.83631201
71,Zegna,11.74192728,26.40044246
72,Gucci,11.88220634,27.39859412
73,HUGO_BOSS,11.92082397,26.10157213
74,Lanc_me_US,5.871591191,29.98088947
75,Marc_Jacobs_Intl,10.97795364,27.17224318
76,Ferrari,11.16536781,-1.071452394
77,Ralph_Lauren,10.67681425,26.80082718
78,Sephora,5.434636412,31.83321076
79,The_Official_Shiseido_USA_Page,5.381555647,29.87040167
80,The_Body_Shop_USA,4.29144214,30.25534731
81,Michele_Bachmann,-27.51505985,-17.66223487
82,Arizona_Athletics,-14.37994104,2.861312277
83,University_of_Arkansas_at_Little_Rock,-3.691818115,-20.39102433
84,BYU_Cougar_Basketball,-15.65718187,3.690919712
85,University_of_Cincinnati_Bearcats,-24.68957674,11.63248735
86,Clemson_Athletics,-26.85116826,4.169277642
87,UConn_Huskies,-13.93103977,7.565059588
88,Duke_Blue_Devils_Athletics,-13.18075913,8.916567574
89,Florida_Gators,-19.52002465,-0.868309847
90,Florida_State_Seminoles,-19.53414319,-0.85328245
91,Georgia_Bulldogs,-27.10542888,4.382194612
92,Gonzaga_Bulldogs_Official_Site,2.427235127,9.20220541
93,Fighting_Illini_Basketball,1.670574117,22.59396189
94,Indiana_State_Sycamores,-9.309894536,8.868258951
95,University_of_Kansas_Athletics_Home_of_the_Jayhawks_,-8.636130553,8.958146151
96,Kentucky_Wildcats,-24.92697947,10.50579057
97,Louisville_Cardinals,-9.260756254,8.614195229
98,Marquette_Golden_Eagles_Official_Site,-27.24479816,-4.857634794
99,University_of_Memphis,-26.35264579,2.254617455
100,Michigan_Basketball,-12.0155978,3.005234661
101,Michigan_State_Spartans,-11.85874398,2.844705012
102,North_Carolina_Tar_Heels,-22.22678815,-1.288797695
103,Notre_Dame_Athletics,-9.445263595,6.565076956
104,Ohio_State_Buckeyes,-22.09216921,11.63183315
105,Old_Dominion_University_Athletics,-13.57265208,9.901879656
106,Penn_State_Nittany_Lions,-15.57724186,13.30738426
107,Pitt_Panthers,-15.97145993,12.51647945
108,Purdue_Athletics,-9.624355172,8.699970187
109,St_John_s_Red_Storm,-15.06452413,6.535307074
110,San_Diego_State_University_Athletics,-0.5570825,-12.48707523
111,Syracuse_Orange,-15.03221684,6.742026305
112,Tennessee_Volunteers_Athletics,-28.56207579,1.728586514
113,Texas_Longhorns,-35.41749068,-3.707759714
114,Aggie_Athletics,-35.5742604,-3.66710363
115,UCLA_Athletics,0.866258424,-12.30441174
116,USC_Trojans_Official_Page,0.525303431,-12.4090881
117,Tim_Pawlenty,-26.78863476,-17.606137
118,Vanderbilt_University_Athletics,-28.46089646,1.465504067
119,VCU_Athletics,-13.12019191,9.600927153
120,Washington_Huskies_Athletics,3.26347026,9.451365652
121,West_Virginia_University,-13.36533333,9.970568791
122,Wisconsin_Badgers,-27.71903631,-4.820172874
123,Harvard_University,-5.343789748,-12.30010352
124,Massachusetts_Institute_of_Technology_MIT_,-5.299579004,-12.28649088
125,Northwestern_University,0.517084429,19.87877225
126,Princeton_University,-5.006608622,-11.69062161
127,Stanford_University,-5.274667552,-12.18283442
128,The_Ohio_State_University,-21.73068052,11.62930444
129,University_of_Virginia,-13.92589516,-13.70345599
130,University_of_Wisconsin_Madison,-27.50626556,-4.909251493
131,30_Rock,4.992000621,-24.34515725
132,50_Cent,14.67894093,5.011786357
133,adidas,22.15430663,5.391684731
134,Air_Canada,23.47750931,26.88114965
135,Air_France,22.80915862,25.73358434
136,AMD,-0.031141836,-41.52954794
137,American_Airlines,23.04385397,28.47720576
138,American_Idol,-15.76803698,-24.21227268
139,Anderson_Cooper_360,-8.089003445,-18.01415251
140,Arizona_Cardinals,-16.89936685,2.892402216
141,Arsenal,25.87532323,11.28823104
142,Atlanta_Hawks,-24.68924254,5.10754685
143,Austrian_Airlines,23.26906883,25.54547678
144,Baltimore_Ravens,-12.17566344,11.98474527
145,BBC_America,-3.82663872,-23.96641402
146,Bergdorf_Goodman,8.00757319,28.57202548
147,Best_Buy,-5.118527178,-3.204612228
148,Best_Western,-4.840982121,29.19353684
149,Beyonc_,18.72163845,5.214200975
150,Big_Time_Rush,24.37926233,-9.113699432
151,Black_Eyed_Peas,23.38532529,1.443619069
152,Blake_Griffin,-19.34441316,5.356417199
153,Bloomingdale_s,7.431069415,29.00731358
154,Bones,-17.05947634,-26.73683629
155,Boston_Celtics,-21.90287568,2.811566035
156,Britney_Spears,20.77463239,1.972762282
157,Buffalo_Bills,-14.00300827,-12.8139679
158,Carolina_Panthers,-22.12534147,-1.249398162
159,Castle,-16.46448351,-26.72060253
160,Cathay_Pacific_Airways_,23.36513621,25.94282052
161,Charlotte_Bobcats,-22.17923192,-0.86851765
162,Chase,-16.21296031,-26.46473366
163,Newt_Gingrich,-26.94690326,-17.25771123
164,Microsoft_Developer,-0.754288694,-39.45504227
165,Allstate_Insurance,-7.607455205,-3.444540572
166,Ball_Park_Franks,-12.23770595,33.39073758
167,Brunswick_Billiards,-10.25348604,-4.708385184
168,Brunswick_Zone_Bowling,-5.185836007,27.7925311
169,Chelsea_Football_Club,25.99511913,11.02366909
170,Chicago_Bears,0.630465033,22.67110716
171,Chicago_Bulls,-1.122069307,22.65319166
172,Chris_Brown,18.42215843,5.266252573
173,Cincinnati_Bengals,-24.81519593,11.73231521
174,Circuit_City,-5.280910456,-3.758511186
175,Cisco,0.828266669,-39.86586068
176,Citro_n,11.45071665,-2.523579237
177,Cleveland_Cavaliers,-20.8728161,9.458993567
178,CNN_International,-6.060322394,-18.07263706
179,CNN_iReport,-7.863611212,-17.81487995
180,Community,5.282495875,-24.91570369
181,Converse,17.27125545,-9.966595095
182,Costco,-1.084269535,11.01428241
183,Cost_Plus_World_Market,-6.11399541,19.0214735
184,Craftsman,-19.25221267,-10.48079754
185,Criminal_Minds,-17.09933893,-26.68497682
186,Cristiano_Ronaldo,27.96938756,11.48608872
187,Kelly_Clarkson,22.68711994,1.527978992
188,Dallas_Mavericks,-33.78986366,-3.383986176
189,Dancing_with_the_Stars,-15.70426698,-24.20102921
190,David_Beckham,27.8236884,11.5229775
191,Dell,0.768071738,-38.13532973
192,Denver_Broncos,-13.8386708,-2.03850732
193,Denver_Nuggets,-14.63089749,-1.743021127
194,Deron_Williams,-16.02059817,3.83904125
195,Derrick_Rose,-1.235751549,22.68900925
196,Sarah_Palin,-27.97654148,-16.96787058
197,Detroit_Lions,-11.97511771,2.907994748
198,DeVry_University,1.389058088,20.15598975
199,Dexter,3.849056241,-25.68683029
200,Dillard_s_Inc_,4.913589362,29.4895018
201,Discover,-3.061570704,2.849996257
202,Dwight_Howard,-22.08375918,6.012502728
203,Dwyane_Wade,-21.01075599,5.506044884
204,EasyJet,23.29447765,25.22269218
205,eBay,-3.210613705,0.927127467
206,Facebook,1.478241804,-37.63829499
207,Eminem,14.93887538,4.936339409
208,Equity_LifeStyle_Properties,-8.35461623,-23.85647251
209,Everton_Football_Club,25.61448363,12.2206651
210,FC_Barcelona,27.79344031,10.6368091
211,Federal_Signal_First_Responder_Systems,-19.17386858,-7.328792871
212,ForbesWoman,-6.930646377,-19.83378932
213,Sahara_Force_India_Formula_One_Team,39.81167352,-3.159489774
214,Gap,4.253723946,27.28273869
215,Get_Olympus,-0.554978064,-37.31799237
216,Glee,23.07014835,-5.518549754
217,Golden_State_Warriors,-19.52941977,2.626750137
218,Google,1.501519457,-39.56862484
219,Green_Bay_Packers_Superbowl_XLV_2011,-27.27344752,-4.936263143
220,Grey_s_Anatomy,-16.52524733,-26.46961241
221,Hillshire_Farm,-11.32136061,33.2210674
222,Hilton_Garden_Inn,20.68206257,29.70003334
223,Hilton_Hotels_Resorts,22.16041694,28.04154872
224,Horace_Mann,-10.81459438,21.49444254
225,House,-15.79109164,-26.72290224
226,Houston_Rockets,-33.77242476,-3.387940087
227,How_I_Met_Your_Mother,6.172458518,-27.41034313
228,IKEA_USA,-1.225066197,11.07554299
229,Indiana_Pacers,-10.60630851,9.179933677
230,ABC_7_Chicago,-0.001005492,20.34958867
231,ESPN,-12.13010105,6.674926306
232,Fox_News,-28.3530255,-16.76240333
233,Garmin,-4.299256408,13.39579732
234,John_Deere,-20.83909158,-10.65606064
235,Kraft_Foods_Recipes_and_Tips,-11.13340004,30.71828911
236,Kraft_Macaroni_Cheese,-11.3764962,33.7126257
237,Motorola,-0.364992426,-38.59974114
238,NAVTEQ,-3.323755828,-38.48885939
239,NBC,-7.679474235,-15.95057661
240,NPR,-6.002993819,-25.17911709
241,American_Family_Insurance,-8.215565357,30.36205294
242,Breakstone_s,-12.15091028,33.00356893
243,Chips_Ahoy_,-1.96565149,5.189975696
244,Crystal_Light,-12.17603582,35.2126194
245,Dentyne,-1.426560977,8.204194259
246,GEICO,-3.962225425,1.436808248
247,Gevalia_Coffee,-3.97555885,2.043295539
248,Green_Black_s,-6.699002796,16.63174412
249,Green_Black_s_USA,-6.166007743,16.84106028
250,HALLS,-8.952451488,31.49497872
251,JELL_O,-11.0808896,33.36059339
252,Kool_Aid,-1.043210537,11.00718458
253,Kraft_Dinner,2.487337497,-5.312571733
254,Liberty_Mutual_Insurance,-4.387478574,-1.360676452
255,Lunchables,-10.92809031,33.52313624
256,MapQuest,-5.154385885,28.0508482
257,Maxwell_House,-3.909801439,4.530621502
258,Miracle_Whip,-12.21210749,33.63912865
259,Mr_Peanut,-0.081036403,11.44049941
260,SnackWell_s,-11.97622239,31.6646748
261,NAVIGON,-1.570079421,-40.02600695
262,Philadelphia_Cream_Cheese,-12.11978238,33.5073002
263,Ritz_Crackers,-11.37108951,33.84741752
264,State_Farm,-5.153737143,28.05903675
265,Stove_Top_Stuffing,-12.54598359,35.1941722
266,Telenav,-4.377208156,28.61195164
267,Toblerone,6.894145358,2.885706661
268,TomTom,-0.221288908,-37.920891
269,TomTom_USA,-4.429276603,7.92542335
270,Trident_Chewing_Gum,19.50684081,-7.586395464
271,Triscuit,-12.69401018,34.83372468
272,USAA,-7.858256909,1.629149659
273,VELVEETA,-12.71133334,34.5355975
274,Wheat_Thins,-11.3223068,33.89577844
275,Tootsie_Rolls,-3.2333995,1.459928833
276,U_S_Cellular,-3.567422408,-6.426457723
277,LA_Lakers,-1.241022037,-10.37902852
278,Walgreens,-12.34493454,31.03547026
279,InterContinental_Hotels_Resorts,22.75080099,26.41987535
280,Jacksonville_Jaguars,-19.46985359,-0.865534352
281,jcpenney,-12.84236807,30.48764212
282,Jennifer_Lopez,21.15205584,3.040721636
283,Jersey_Shore,6.495216681,13.49972952
284,Memphis_Grizzlies,-20.64132976,4.565800876
285,Jimmy_Dean_Sausage,-12.39046313,33.67872328
286,Brooklyn_Nets,-17.76985136,4.828846182
287,Jordan,-18.99983114,5.971704144
288,Justin_Bieber,25.2478106,-2.606952882
289,New_York_Knicks,-16.55881809,6.174552393
290,Oklahoma_City_Thunder,-19.56293508,4.27724342
291,Utah_Jazz,-15.8362838,3.700065606
292,Katy_Perry,23.56040185,-0.192125351
293,Keeping_Up_With_The_Kardashians_on_E_,6.316692013,13.85928782
294,Keller_Graduate_School_of_Management,1.40197911,20.05740327
295,Kellogg_School_of_Management,-15.50204102,-16.64051005
296,Kenmore,-2.947635803,2.141663115
297,Kevin_Durant,-19.42287032,4.488860452
298,Axe_Angels_club,43.58253894,-2.115644489
299,Kevin_Garnett,-21.76760563,2.952457191
300,Kmart,-11.44186622,35.93955783
301,Kobe_Bryant,-1.355831461,-10.03917679
302,Kodak,-3.867233913,1.212648493
303,Kohl_s,-12.886266,29.01370993
304,Korean_Air_,23.10323072,26.34710033
305,BlackBerry_India,42.01056093,-2.584492063
306,Lady_Gaga,22.43249622,-0.204608959
307,flipkart_com,41.78590288,-2.393375673
308,Kingfisher,43.28332003,-2.898811834
309,Mumbai_Indians,42.76451695,-1.971553075
310,Lands_End,-10.2328866,23.19003642
311,Last_Call_by_Neiman_Marcus,5.774672123,29.98078557
312,Le_Cordon_Bleu,-5.192159797,1.348089421
313,Leica_Camera,-2.808847019,-37.76381406
314,Lil_Wayne,13.16966967,4.733018713
315,Pizza_Hut_Celebrations,42.65635705,-2.788752918
316,Liverpool_FC,25.96309026,10.82017816
317,Tata_Docomo,43.2757518,-2.659227343
318,Vodafone_Zoozoos,42.7930479,-1.852915882
319,Lowe_s_Home_Improvement,-9.711438494,29.49208762
