id,brand,x,y,name,category,likes,talking
1,Amazon_Kindle,-7.893566313,20.539603,Amazon_Kindle,Product_service,2461155,42772
2,NESCAF_,42.76697912,-2.726846755,NESCAF_,Food_beverages,1950957,125545
3,Nokia,40.52341274,-1.132194998,Nokia,Electronics,8345543,176481
4,McDonald_s,-1.067203098,10.4411771,McDonald_s,Food_beverages,22923442,260806
5,T_Mobile,-0.225415506,-37.50930821,T_Mobile,Company,3008867,222158
6,Amazon_com,-7.204696043,2.961376685,Amazon_com,Retail_and_consumer_merchandise,12780656,875193
7,Delta,22.36418701,28.49243089,Delta,Travel_leisure,364942,10576
8,NVIDIA,0.020874899,-41.62244666,NVIDIA,Product_service,602741,5541
9,Maybelline_New_York,5.417823606,30.31138874,Maybelline_New_York,Health_beauty,2651692,42372
10,Pepsi,-2.483445037,-1.177481218,Pepsi,Food_beverages,9000230,95575
11,Coca_Cola,1.535775694,-2.364509603,Coca_Cola,Food_beverages,43548165,742798
12,Capital_One,-6.491762774,4.666510978,Capital_One,Product_service,2554905,2630
13,American_Express,21.20042934,28.37619119,American_Express,Product_service,2689057,131240
14,Mercedes_Benz_USA,8.983084069,-2.593554294,Mercedes_Benz_USA,Cars,480973,58449
15,BMW_USA,9.000318117,-2.61611905,BMW_USA,Cars,772563,14984
16,MetLife,-6.432153289,4.656067024,MetLife,Insurance_company,391269,74702
17,SingTel,1.218916491,-39.54907169,SingTel,Telecommunication,137486,4592
18,Intel,0.051577191,-41.522717,Intel,Product_service,11008458,315429
19,MasterCard,-4.323142079,-0.308093344,MasterCard,Product_service,454683,51944
20,Visa_Signature,-2.978978192,1.092924306,Visa_Signature,Product_service,334544,14206
21,L_Oreal_Paris_USA,5.779191067,30.38444964,L_Oreal_Paris_USA,Health_beauty,1423647,27028
22,Coca_Cola_Zero,-0.22231027,-5.702049454,Coca_Cola_Zero,Food_beverages,1157163,53754
23,Starbucks,-5.638018006,20.4667398,Starbucks,Food_beverages,30723302,132565
24,Tide,-9.406022595,29.55902263,Tide,Household_supplies,3133344,35518
25,Burger_King,2.247889842,-2.985608775,Burger_King,Food_beverages,5606619,132055
26,Wendy_s,-10.09895862,34.52908931,Wendy_s,Food_beverages,2525820,22849
27,Mercedes_Benz,10.99535213,-0.863179725,Mercedes_Benz,Cars,7676559,124129
28,Subway,0.345029623,12.27174568,Subway,Restaurant_cafe,14543148,199250
29,United,23.01589176,28.96314313,United,Travel_leisure,364971,8278
30,Bing,-0.265920604,-37.50423536,Bing,Website,3159426,11774
31,Windows_Phone,-0.605526738,-39.81142922,Windows_Phone,Product_service,1339704,42959
32,Xbox,13.87340338,-30.63986838,Xbox,Games_toys,18090669,148330
